Borough,total_trips,total_passengers,median_distance,median_fare_amount,date
Bronx,161,183.0,3.04,24.2,2022-11-01
Brooklyn,634,813.0,4.56,21.25,2022-11-01
Manhattan,102795,136125.0,1.7,10.0,2022-11-01
Queens,10499,14691.0,11.565000000000001,40.5,2022-11-01
Staten Island,14,15.0,0.26,62.2,2022-11-01
Bronx,143,164.0,4.3,25.7,2022-11-02
Brooklyn,621,781.0,3.7800000000000002,21.0,2022-11-02
Manhattan,109944,144958.0,1.71,10.0,2022-11-02
Queens,9862,13686.0,11.3,38.5,2022-11-02
Staten Island,11,11.0,0.41,54.2,2022-11-02
Bronx,154,172.0,3.2,23.7,2022-11-03
Brooklyn,664,818.0,3.85,21.0,2022-11-03
Manhattan,113623,150935.0,1.71,10.26,2022-11-03
Queens,10805,15656.0,11.6,40.5,2022-11-03
Staten Island,10,10.0,2.345,59.2,2022-11-03
Bronx,124,140.0,3.3,24.2,2022-11-04
Brooklyn,699,950.0,3.565,19.235,2022-11-04
Manhattan,113467,157514.0,1.72,10.0,2022-11-04
Queens,10209,14793.0,12.07,42.5,2022-11-04
Staten Island,9,9.0,0.135,44.2,2022-11-04
Bronx,84,117.0,1.17,20.2,2022-11-05
Brooklyn,862,1296.0,3.685,18.0,2022-11-05
Manhattan,114860,168982.0,1.8,10.0,2022-11-05
Queens,8682,12396.0,12.31,42.0,2022-11-05
Staten Island,9,11.0,5.35,57.2,2022-11-05
Bronx,102,129.0,3.57,21.2,2022-11-06
Brooklyn,727,975.0,3.73,18.4,2022-11-06
Manhattan,87430,127025.0,1.9,9.5,2022-11-06
Queens,10697,14803.0,12.23,41.0,2022-11-06
Staten Island,7,8.0,2.5,63.2,2022-11-06
Bronx,121,133.0,2.7,29.2,2022-11-07
Brooklyn,501,626.0,3.6,20.5,2022-11-07
Manhattan,94234,127337.0,1.7,9.5,2022-11-07
Queens,11803,16176.0,11.27,38.0,2022-11-07
Staten Island,13,14.0,0.28,57.2,2022-11-07
Bronx,132,137.0,2.9,24.2,2022-11-08
Brooklyn,529,678.0,3.5,20.5,2022-11-08
Manhattan,104924,137496.0,1.67,9.5,2022-11-08
Queens,9857,13432.0,11.03,36.5,2022-11-08
Staten Island,10,10.0,11.8,59.2,2022-11-08
Bronx,142,163.0,2.9,25.2,2022-11-09
Brooklyn,666,866.0,3.625,20.5,2022-11-09
Manhattan,111962,147066.0,1.7,10.0,2022-11-09
Queens,9924,13912.0,11.38,40.0,2022-11-09
Staten Island,11,11.0,0.0,61.2,2022-11-09
Bronx,150,169.0,2.6,25.03,2022-11-10
Brooklyn,645,783.0,4.0,21.5,2022-11-10
Manhattan,114647,152122.0,1.71,10.5,2022-11-10
Queens,10622,15250.0,11.6,40.5,2022-11-10
Staten Island,11,11.0,10.055,60.2,2022-11-10
Bronx,126,139.0,3.775,26.6,2022-11-11
Brooklyn,578,764.0,3.35,19.72,2022-11-11
Manhattan,100163,138461.0,1.7,10.3,2022-11-11
Queens,10037,14431.0,11.8,43.0,2022-11-11
Staten Island,10,11.0,0.25,55.2,2022-11-11
Bronx,119,152.0,2.2,22.2,2022-11-12
Brooklyn,745,1019.0,3.57,18.0,2022-11-12
Manhattan,114621,167900.0,1.8,10.0,2022-11-12
Queens,8942,12733.0,12.57,42.5,2022-11-12
Staten Island,7,7.0,0.0,67.2,2022-11-1
Bronx,74,118.0,3.42,23.5,2022-11-
Brooklyn,720,960.0,4.0,19.634999999999998,2022-11-13
Manhattan,94249,134220.0,1.86,10.0,2022-11-13
Queens,12115,17077.0,12.11,40.0,2022-11-13
Staten Island,11,12.0,2.97,57.2,2022-11-1
Bronx,27,43.0,1.175,11.75,2022-11-14
Brooklyn,247,329.0,4.19,20.73,2022-11-14
Manhattan,68600,95515.0,1.68,9.5,2022-11-14
Queens,9117,13033.0,11.74,40.0,2022-11-14
Staten Island,4,6.0,2.11,5.25,2022-11-1
Bronx,28,44.0,4.375,20.025,2022-11-15
Brooklyn,298,425.0,4.49,20.5,2022-11-15
Manhattan,76772,105449.0,1.65,10.0,2022-11-15
Queens,8067,11379.0,11.434999999999999,39.5,2022-11-15
Staten Island,2,2.0,2.045,7.5,2022-11-1
Bronx,27,31.0,1.6949999999999998,17.25,2022-11-16
Brooklyn,332,418.0,4.39,19.5,2022-11-16
Manhattan,79026,108850.0,1.7,10.0,2022-11-16
Queens,7795,10948.0,11.39,40.0,2022-11-16
Staten Island,5,6.0,0.27,3.0,2022-11-1
Bronx,35,47.0,2.65,16.7,2022-11-17
Brooklyn,347,452.0,4.205,19.97,2022-11-17
Manhattan,81056,112165.0,1.74,10.5,2022-11-17
Queens,8424,12270.0,11.32,40.0,2022-11-17
Staten Island,2,2.0,1.2000000000000002,5.25,2022-11-1
Bronx,40,56.0,2.23,15.129999999999999,2022-11-18
Brooklyn,368,529.0,4.05,19.85,2022-11-18
Manhattan,81064,115182.0,1.71,10.0,2022-11-18
Queens,8009,11925.0,11.53,39.5,2022-11-18
Staten Island,4,4.0,0.12,110.0,2022-11-1
Bronx,32,46.0,1.04,23.5,2022-11-19
Brooklyn,522,800.0,4.15,18.509999999999998,2022-11-19
Manhattan,81787,122626.0,1.81,10.0,2022-11-19
Queens,6561,10179.0,12.05,42.0,2022-11-19
Staten Island,1,1.0,0.0,2.5,2022-11-1
Bronx,36,52.0,3.13,14.0,2022-11-20
Brooklyn,496,721.0,4.37,19.13,2022-11-20
Manhattan,67502,100170.0,1.8650000000000002,9.5,2022-11-20
Queens,7529,11228.0,11.54,38.0,2022-11-20
Staten Island,3,3.0,8.9,3.0,2022-11-2
Bronx,139,150.0,3.2,25.2,2022-11-21
Brooklyn,454,593.0,4.4,24.0,2022-11-21
Manhattan,91987,124009.0,1.61,9.5,2022-11-21
Queens,9903,14497.0,11.195,38.0,2022-11-21
Staten Island,14,17.0,0.235,57.2,2022-11-2
Bronx,159,170.0,3.0,24.2,2022-11-22
Brooklyn,488,602.0,4.4,22.78,2022-11-22
Manhattan,97643,131686.0,1.64,10.0,2022-11-22
Queens,9588,14009.0,11.1,38.0,2022-11-22
Staten Island,13,13.0,13.4,61.2,2022-11-2
Bronx,171,184.0,3.6799999999999997,26.7,2022-11-23
Brooklyn,435,514.0,4.5,23.2,2022-11-23
Manhattan,90504,128878.0,1.62,9.5,2022-11-23
Queens,8986,13536.0,11.3,38.5,2022-11-23
Staten Island,8,9.0,14.350000000000001,53.7,2022-11-23
Bronx,131,163.0,2.9,23.2,2022-11-24
Brooklyn,375,508.0,3.99,20.759999999999998,2022-11-24
Manhattan,58757,88540.0,1.87,9.0,2022-11-24
Queens,5580,8380.0,11.9,38.0,2022-11-24
Staten Island,12,12.0,2.5,58.2,2022-11-24
Bronx,90,114.0,2.95,22.35,2022-11-25
Brooklyn,335,439.0,3.5,19.47,2022-11-25
Manhattan,73990,113900.0,1.7,9.0,2022-11-25
Queens,8254,12241.0,11.1,34.5,2022-11-25
Staten Island,8,11.0,0.365,64.2,2022-11-25
Bronx,73,89.0,2.715,26.2,2022-11-26
Brooklyn,446,626.0,3.3,17.5,2022-11-26
Manhattan,84339,129849.0,1.8,10.0,2022-11-26
Queens,10398,14989.0,12.25,40.5,2022-11-26
Staten Island,12,13.0,1.905,58.6,2022-11-26
Bronx,89,97.0,2.745,22.445,2022-11-27
Brooklyn,407,554.0,3.69,18.77,2022-11-27
Manhattan,71806,104862.0,1.73,9.0,2022-11-27
Queens,13421,18898.0,11.79,38.0,2022-11-27
Staten Island,13,13.0,16.8,57.2,2022-11-27
Bronx,139,155.0,2.9699999999999998,24.85,2022-11-28
Brooklyn,421,573.0,3.9699999999999998,23.115000000000002,2022-11-28
Manhattan,85883,114013.0,1.64,9.0,2022-11-28
Queens,15230,20989.0,11.71,38.0,2022-11-28
Staten Island,11,13.0,16.2,54.2,2022-11-28
Bronx,160,184.0,2.25,25.0,2022-11-29
Brooklyn,463,561.0,3.81,21.5,2022-11-29
Manhattan,100635,131964.0,1.61,9.5,2022-11-29
Queens,12447,17215.0,11.3,38.0,2022-11-29
Staten Island,13,15.0,13.950000000000001,51.7,2022-11-29
Bronx,161,172.0,1.7,28.74,2022-11-30
Brooklyn,508,625.0,3.83,22.0,2022-11-30
Manhattan,99452,130128.0,1.6,10.0,2022-11-30
Queens,11152,15668.0,11.5,40.0,2022-11-30
Staten Island,15,20.0,13.4,54.2,2022-11-30
